row,column,accession_name,year,month,TY,SFY,MFM,PFR,Tacy,Brix,TA,PAC
4,16,CNJ04_21_16,2012,October,293.8,230.4,2.7,20.6,27,9.2,2.46,1.5
4,17,CNJ04_21_17,2012,October,194.5,152.6,1.9,21.4,34,10.3,2.82,1.23
4,18,CNJ04_21_18,2012,October,297.2,200.9,2.4,31.3,36,9.2,2.66,1.4
4,19,CNJ04_21_19,2012,October,420.5,380.8,2.7,8.9,31,8.4,2.54,1.36
4,20,CNJ04_21_20,2012,October,280.1,189.3,2.6,30.7,47,10.6,1.94,1.67
4,21,CNJ04_21_21,2012,October,400.6,352,2.5,10.4,37,9.2,2.63,1.78
4,22,CNJ04_21_22,2012,October,169.3,105.9,3,30.5,46,8.4,3.41,1.47
4,23,CNJ04_21_23,2012,October,506.6,450.3,2.1,8.6,41,10.1,2.46,1.44
4,24,CNJ04_21_24,2012,October,118.4,98.9,2.4,12.2,27,9.5,2.77,1.52
4,25,CNJ04_21_25,2012,October,300.5,242.5,2.7,17.6,30,9,2.57,1.5
4,26,CNJ04_21_26,2012,October,397.7,317.2,2.6,18.5,15,10.1,2.43,1.12
4,27,CNJ04_21_27,2012,October,357.2,266.5,2.9,21.5,28,8.4,2.18,1.35
4,28,CNJ04_21_28,2012,October,245.7,228.1,2.4,5.7,31,9.2,2.56,1.19
4,29,CNJ04_21_29,2012,October,291.3,276,2.3,5.3,25,9.9,2.76,1.34
4,30,CNJ04_21_30,2012,October,607.1,547.8,3.8,8.1,34,9,2.63,1.18
4,31,CNJ04_21_31,2012,October,144.8,120.5,3,15.9,28,9.5,3.13,1.3
4,32,CNJ04_21_32,2012,October,199.5,116.2,2.7,11.9,48,9.2,2.82,2.06
